"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Defense Response To Bacterium (GO:0042742)","15/204",0.0127201040491634,0.0905903266301798,0,0,2.00157678965626,8.73602509353596,"ANXA3;PLA2G1B;SFTPD;FPR2;NLRC4;CFP;AQP1;SELP;FGR;IL6;SLPI;IL1B;S100A12;TLR4;GBP4"
"Aortic Valve Morphogenesis (GO:0003180)","5/37",0.0131153210206273,0.0905903266301798,0,0,3.92116013071895,16.9942067958994,"ROBO2;TIE1;SLIT2;SMAD6;TGFBR2"
"Regulation Of Ossification (GO:0030278)","5/37",0.0131153210206273,0.0905903266301798,0,0,3.92116013071895,16.9942067958994,"BMP2;BMPR2;ZBTB16;S1PR1;SMAD6"
"Regulation Of p38MAPK Cascade (GO:1900744)","5/37",0.0131153210206273,0.0905903266301798,0,0,3.92116013071895,16.9942067958994,"BMP2;GADD45B;DUSP1;IL1B;SASH1"
"Regulation Of Sodium Ion Transmembrane Transporter Activity (GO:2000649)","5/37",0.0131153210206273,0.0905903266301798,0,0,3.92116013071895,16.9942067958994,"PRKCE;HECW2;FXYD1;FXYD6;SCN4B"
"Positive Regulation Of Signaling (GO:0023056)","5/37",0.0131153210206273,0.0905903266301798,0,0,3.92116013071895,16.9942067958994,"EDN1;RAMP3;TNXB;GATA6;SNCA"
"SMAD Protein Signal Transduction (GO:0060395)","6/51",0.0131807313318218,0.0905903266301798,0,0,3.34816753926702,14.4942148113893,"GDF10;BMP2;ATOH8;SMAD9;FOS;SMAD6"
"Cholesterol Transport (GO:0030301)","6/51",0.0131807313318218,0.0905903266301798,0,0,3.34816753926702,14.4942148113893,"MSR1;CAV1;CD36;ABCA8;LDLR;CES1"
"Positive Regulation Of Protein Localization To Cell Periphery (GO:1904377)","6/51",0.0131807313318218,0.0905903266301798,0,0,3.34816753926702,14.4942148113893,"PRKCH;RAMP3;PRKCE;EPB41L2;SORBS1;SPTBN1"
"Positive Regulation Of Cold-Induced Thermogenesis (GO:0120162)","9/98",0.0132376768856794,0.0905903266301798,0,0,2.54350425962291,10.9998628726758,"CNKSR2;FABP4;EPAS1;CAV1;LEPR;ADRB1;ADRB2;CD36;PPARGC1B"
"Positive Regulation Of Protein-Containing Complex Assembly (GO:0031334)","9/98",0.0132376768856794,0.0905903266301798,0,0,2.54350425962291,10.9998628726758,"CDH5;TPPP3;TAL1;TPPP;CD36;TLR4;FERMT2;RASIP1;SNCA"
"Cellular Response To Type II Interferon (GO:0071346)","7/66",0.0132644631560603,0.0905903266301798,0,0,2.98102938889753,12.8859966586728,"CCL14;CCL23;CCL2;AQP4;TLR4;CX3CL1;GBP4"
"Neuron Development (GO:0048666)","12/150",0.0133087207482964,0.0905903266301798,0,0,2.19020305150855,9.46022236919974,"ROBO2;GPM6A;NTRK2;IL6;BTG2;TNXB;MYOC;FLRT3;PTPRM;FRY;AGER;SH3GL2"
"Amylin Receptor Signaling Pathway (GO:0097647)","2/5",0.0136991728460493,0.0905903266301798,0,0,16.6901041666667,71.607553784155,"RAMP2;RAMP3"
"Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis (GO:0002043)","2/5",0.0136991728460493,0.0905903266301798,0,0,16.6901041666667,71.607553784155,"SEMA5A;BMPER"
"Cell Junction Disassembly (GO:0150146)","2/5",0.0136991728460493,0.0905903266301798,0,0,16.6901041666667,71.607553784155,"CX3CR1;CX3CL1"
"Regulation Of Renal Sodium Excretion (GO:0035813)","2/5",0.0136991728460493,0.0905903266301798,0,0,16.6901041666667,71.607553784155,"NPR1;AGTR1"
"Regulation Of Type B Pancreatic Cell Proliferation (GO:0061469)","2/5",0.0136991728460493,0.0905903266301798,0,0,16.6901041666667,71.607553784155,"NR4A1;NR4A3"
"Cholesterol Import (GO:0070508)","2/5",0.0136991728460493,0.0905903266301798,0,0,16.6901041666667,71.607553784155,"CD36;LDLR"
"Endothelin Receptor Signaling Pathway (GO:0086100)","2/5",0.0136991728460493,0.0905903266301798,0,0,16.6901041666667,71.607553784155,"EDN1;EDNRB"
"Synaptic Vesicle Uncoating (GO:0016191)","2/5",0.0136991728460493,0.0905903266301798,0,0,16.6901041666667,71.607553784155,"SH3GL3;SH3GL2"
"Tight Junction Organization (GO:0120193)","2/5",0.0136991728460493,0.0905903266301798,0,0,16.6901041666667,71.607553784155,"CLDN11;CLDN5"
"Glomerulus Vasculature Development (GO:0072012)","2/5",0.0136991728460493,0.0905903266301798,0,0,16.6901041666667,71.607553784155,"PECAM1;TEK"
"Hydrogen Peroxide Biosynthetic Process (GO:0050665)","2/5",0.0136991728460493,0.0905903266301798,0,0,16.6901041666667,71.607553784155,"DUOX1;MAOB"
"Ketone Body Biosynthetic Process (GO:0046951)","2/5",0.0136991728460493,0.0905903266301798,0,0,16.6901041666667,71.607553784155,"ACSS3;HMGCLL1"
"Negative Regulation Of Cellular Extravasation (GO:0002692)","2/5",0.0136991728460493,0.0905903266301798,0,0,16.6901041666667,71.607553784155,"PTGER4;CXCL12"
"Negative Regulation Of Monocyte Chemotaxis (GO:0090027)","2/5",0.0136991728460493,0.0905903266301798,0,0,16.6901041666667,71.607553784155,"DUSP1;SLIT2"
"Negative Regulation Of Morphogenesis Of An Epithelium (GO:1905331)","2/5",0.0136991728460493,0.0905903266301798,0,0,16.6901041666667,71.607553784155,"NKD1;TBX2"
