"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Cushing syndrome","8/155",0.248157767622777,0.653424648233885,0,0,1.36290106593819,1.89946237068038,"NR4A1;CDKN2B;WNT2B;FZD4;AGTR1;PDE8B;LDLR;KCNK3"
"Non-alcoholic fatty liver disease","8/155",0.248157767622777,0.653424648233885,0,0,1.36290106593819,1.89946237068038,"SOCS3;IL6;IL1B;COX4I2;LEPR;PPARG;FOS;COX7A1"
"Glycosphingolipid biosynthesis","3/45",0.249838836089427,0.653424648233885,0,0,1.78692493946731,2.47835629003821,"B3GALNT1;ST6GALNAC3;ST6GALNAC5"
"Type II diabetes mellitus","3/46",0.260291462557805,0.67427883634022,0,0,1.74527758406355,2.34906206433164,"SOCS2;SOCS3;PRKCE"
"Retinol metabolism","4/68",0.266075941439588,0.682760906335547,0,0,1.56380548302872,2.07043704497596,"ADH1B;ALDH1A1;AOX1;HSD17B6"
"Adipocytokine signaling pathway","4/69",0.274668179083846,0.695918113931311,0,0,1.53966659971882,1.98954414130947,"SOCS3;LEPR;CD36;ACACB"
"Yersinia infection","7/137",0.276320427590373,0.695918113931311,0,0,1.34791813690896,1.73368437807676,"IL6;IL1B;CCL2;PIP5K1B;FOS;NLRC4;TLR4"
"Biosynthesis of unsaturated fatty acids","2/27",0.279010610947651,0.696246662181294,0,0,2.00052083333333,2.55367577822386,"HACD1;SCD5"
"Prolactin signaling pathway","4/70",0.283305741055563,0.700537832428301,0,0,1.51625919772134,1.91234947642658,"SOCS2;SOCS3;SHC3;FOS"
"Cocaine addiction","3/49",0.291940346778438,0.715385354267884,0,0,1.6312000453489,2.00834293956664,"MAOB;BDNF;FOSB"
"Cholesterol metabolism","3/50",0.302554877509932,0.73477613109555,0,0,1.59641044134373,1.90849687670612,"LPL;CD36;LDLR"
"Circadian entrainment","5/97",0.318257584574882,0.764137916523958,0,0,1.35961921000284,1.55662016092934,"GRIA1;GUCY1A2;NOS1;FOS;GNG11"
"Sulfur metabolism","1/10",0.324766351798358,0.764137916523958,0,0,2.77719982661465,3.12337576525875,"PAPSS2"
"Synthesis and degradation of ketone bodies","1/10",0.324766351798358,0.764137916523958,0,0,2.77719982661465,3.12337576525875,"HMGCLL1"
"Choline metabolism in cancer","5/98",0.325882346752864,0.764137916523958,0,0,1.3449293695973,1.50796017763549,"SLC22A4;PIP5K1B;FOS;PLPP3;WASF3"
"Breast cancer","7/147",0.337862062918885,0.781080934604395,0,0,1.25098296199214,1.35746358515661,"SHC3;WNT2B;GADD45B;FZD4;NOTCH4;FOS;FGF2"
"Arrhythmogenic right ventricular cardiomyopathy","4/77",0.344594529972527,0.781080934604395,0,0,1.37036374691513,1.45996748631391,"DES;ITGA8;CACNA2D2;SGCG"
"Bacterial invasion of epithelial cells","4/77",0.344594529972527,0.781080934604395,0,0,1.37036374691513,1.45996748631391,"SHC3;ARHGEF26;CAV2;CAV1"
"Leishmaniasis","4/77",0.344594529972527,0.781080934604395,0,0,1.37036374691513,1.45996748631391,"FCGR3B;IL1B;FOS;TLR4"
"Taurine and hypotaurine metabolism","1/11",0.350775810661547,0.788520830578024,0,0,2.49934980494148,2.61833878958658,"CDO1"
"Pancreatic secretion","5/102",0.356538057570069,0.794904521795564,0,0,1.28919884104845,1.32956918932407,"CPA3;CPB2;CA2;PLA2G1B;ATP1A2"
"Propanoate metabolism","2/34",0.378572542978209,0.837168550325796,0,0,1.56233723958333,1.51757247391787,"ACSS3;ACACB"
"Mucin type O-glycan biosynthesis","2/36",0.406049635282941,0.878774425053649,0,0,1.4702818627451,1.32513544973719,"GALNT18;ST6GALNAC3"
"Long-term depression","3/60",0.408317345679907,0.878774425053649,0,0,1.31565223358265,1.17844365005342,"GRIA1;GUCY1A2;NOS1"
"Mineral absorption","3/60",0.408317345679907,0.878774425053649,0,0,1.31565223358265,1.17844365005342,"MT1M;CYBRD1;ATP1A2"
"HIF-1 signaling pathway","5/109",0.410310117580197,0.878774425053649,0,0,1.20198592257416,1.0707795683068,"IL6;EDN1;ANGPT1;TEK;TLR4"
"Aldosterone-regulated sodium reabsorption","2/37",0.419567537753719,0.884669536969082,0,0,1.4281994047619,1.24043512901144,"SCNN1G;ATP1A2"
"Thyroid cancer","2/37",0.419567537753719,0.884669536969082,0,0,1.4281994047619,1.24043512901144,"GADD45B;PPARG"
"Colorectal cancer","4/86",0.423555791849904,0.886209041409029,0,0,1.21938483092403,1.0475369677484,"GADD45B;DCC;FOS;TGFBR2"
"Cytosolic DNA-sensing pathway","3/63",0.439264304767644,0.90158059893202,0,0,1.2496740547588,1.02804934247162,"IL33;IL6;IL1B"
"Serotonergic synapse","5/113",0.440791449381358,0.90158059893202,0,0,1.15722585330428,0.947980231396832,"MAOB;DUSP1;ALOX5;GNG11;SLC6A4"
"Gap junction","4/88",0.440846395801319,0.90158059893202,0,0,1.19022752704215,0.974866297948825,"GUCY1A2;TUBB6;TUBB1;ADRB1"
"Glycine, serine and threonine metabolism","2/40",0.45913689169384,0.931979362244214,0,0,1.31524122807018,1.02379281342622,"AOC3;MAOB"
