"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"209789_at",-1.57073016666667,6.12352975,-13.7464307408147,2.0548522684576e-26,1.25889340458736e-23,49.4977540369635
"212975_at",-1.37773016666667,8.23841508333333,-13.7448605444058,2.07225251783927e-26,1.25889340458736e-23,49.4894470531138
"216620_s_at",-1.10972333333333,8.95456383333333,-13.7346254114961,2.18935318348627e-26,1.31541632205617e-23,49.4352933136793
"227178_at",-1.355449,8.76613283333333,-13.6878911700489,2.81432615306519e-26,1.67253567846564e-23,49.1878993169492
"219125_s_at",1.12638516666667,8.69296158333333,13.6748119461332,3.01933491110139e-26,1.77507673402654e-23,49.1186262169011
"226140_s_at",-1.2990245,10.1549040833333,-13.6712215056515,3.07818894958902e-26,1.79042532785936e-23,49.0996069484244
"228665_at",-1.76472783333333,8.86876958333333,-13.6671741008702,3.14591448454661e-26,1.80347846101114e-23,49.0781656177846
"243813_at",-2.32953966666667,6.32073166666667,-13.6659552238117,3.16660141302368e-26,1.80347846101114e-23,49.0717082579272
"241782_at",-1.96185116666667,6.70275358333333,-13.6619726312754,3.23515056546611e-26,1.82352430068928e-23,49.0506083434415
"225660_at",-1.82189866666667,7.14276383333333,-13.6527886517599,3.39895531983691e-26,1.89630491951105e-23,49.001945708483
"213316_at",-2.17507833333333,7.720525,-13.607048810195,4.34738633928271e-26,2.40094291010386e-23,48.7594709354829
"212636_at",-1.7168855,10.2932375833333,-13.5988715953808,4.54302222441025e-26,2.4838974011963e-23,48.7161019088202
"204642_at",-1.98711933333333,8.86766533333333,-13.5906059560646,4.74975061082013e-26,2.57121400640189e-23,48.6722577106964
"208982_at",-1.49800016666667,11.83592825,-13.5776650345498,5.0925265944893e-26,2.72974403484022e-23,48.6036014883867
"229172_at",-1.53015,8.16922816666667,-13.5714198118399,5.266718642381e-26,2.79570720167166e-23,48.5704629032772
"219059_s_at",-2.29578633333333,8.12991033333333,-13.5281947600951,6.64781343898915e-26,3.4686754768297e-23,48.3410041882539
"213900_at",-1.79586033333333,8.36088116666667,-13.5278165073143,6.66137951654539e-26,3.4686754768297e-23,48.3389955034734
"237390_at",-1.89206833333333,4.96318133333333,-13.4847222478804,8.40364287196571e-26,4.33461484928986e-23,48.1100626642202
"227419_x_at",-2.06921466666667,8.786724,-13.4440993450033,1.04627994962845e-25,5.34629497625567e-23,47.8941074655751
"202759_s_at",-2.0768775,10.7076249166667,-13.3668835491081,1.58757347632664e-25,8.03709072390362e-23,47.4832218427907
"225372_at",-1.17950866666667,7.15867316666667,-13.3579789397348,1.66583065475019e-25,8.35589826132723e-23,47.4358047783954
"244455_at",-2.1602865,6.71120575,-13.3159511388181,2.09073411826071e-25,1.03918989014458e-22,47.2119147330897
"213103_at",-1.34765233333333,8.07415416666667,-13.3071408544457,2.19275749816261e-25,1.0800812271355e-22,47.1649615488186
"228339_at",-1.79842333333333,8.88407683333333,-13.2903067229079,2.40178918622762e-25,1.17248056925889e-22,47.0752280559239
"236088_at",-1.37876666666667,6.22980366666667,-13.2725918237934,2.64337647841008e-25,1.27899653944311e-22,46.9807737858043
"220994_s_at",-2.13920816666667,7.70348441666667,-13.2517410624107,2.95914076954977e-25,1.41921948750117e-22,46.8695655291338
"203065_s_at",-2.65232816666667,11.58513525,-13.2450392725953,3.06845979914419e-25,1.45885251754964e-22,46.8338135608721
"227452_at",2.24942533333333,6.678193,13.2386130403462,3.17708578919481e-25,1.48467662841219e-22,46.7995280810979
"231947_at",-1.87116283333333,8.07350725,-13.2120173848177,3.66920939005786e-25,1.70011884238486e-22,46.6575973557207
"224762_at",1.6963555,8.21185025,13.1900397356081,4.13308881216284e-25,1.89896328407566e-22,46.5402669204283
"213317_at",-3.45981,9.73508733333333,-13.1860992275386,4.22227505762492e-25,1.92377407313035e-22,46.5192258140732
"212822_at",-1.43910283333333,9.48953275,-13.1775760474136,4.42183874292967e-25,1.99804986173289e-22,46.4737102775252
"226985_at",-1.496624,8.51792533333333,-13.1662043327966,4.70290525285903e-25,2.10763397295137e-22,46.41297370569
"219213_at",-1.64523,8.50682516666667,-13.1469992471561,5.21885807135292e-25,2.319846057327e-22,46.3103749477144
"208837_at",1.0615035,9.64763975,13.1352680630861,5.56156735364897e-25,2.45224754081256e-22,46.2476890302102
"230560_at",-3.6274755,7.29057058333333,-13.1297694048343,5.72988240148389e-25,2.50625056240905e-22,46.2183029527067
"219761_at",-1.46432816666667,7.15717091666667,-13.1259684067958,5.84920826786465e-25,2.5381385876627e-22,46.1979881269075
"236383_at",-1.96095616666667,6.62807958333333,-13.122277435376,5.96746414558701e-25,2.5690637965352e-22,46.1782602326718
