"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000010932.17",151.79085423776,1.30007968373951,0.187638937161734,6.92862421523372,4.24952949405553e-12,1.92809186414213e-11
"ENSG00000236670.1",7.95538427632646,1.25345142877695,0.180943955493973,6.92729096893593,4.28975703418289e-12,1.94609810906807e-11
"ENSG00000130600.19",1703.31362555543,2.23536494086039,0.322783644610608,6.92527325403069,4.35134776734809e-12,1.97354109165384e-11
"ENSG00000257594.4",13.8207693376564,1.54372509703232,0.222946510686165,6.92419492137904,4.38461846145027e-12,1.98787812391052e-11
"ENSG00000204613.11",18.6921452013224,2.46073930968729,0.355407655623814,6.92370935389163,4.3996813894746e-12,1.99445561851908e-11
"ENSG00000130598.16",120.634161427397,-1.46111317054188,0.211034084934874,-6.92358853306935,4.40343728147513e-12,1.99590641508013e-11
"ENSG00000121316.11",1914.87338663564,-1.09561959286077,0.158249476684051,-6.92336945320965,4.41025571811194e-12,1.99874480262061e-11
"ENSG00000248464.1",1.11660289312754,-2.84243090021838,0.410607847972372,-6.92249530605571,4.43756504646549e-12,2.01061427641242e-11
"ENSG00000286277.1",16.3520871715551,-1.69360928507998,0.24466979604715,-6.92202025931146,4.45247548780598e-12,2.01711567616781e-11
"ENSG00000260046.1",3.76297770566627,1.84456134610439,0.266497419512912,6.92149796225334,4.46892567614852e-12,2.02431290398407e-11
"ENSG00000236762.1",5.67194773184236,-1.23310780857943,0.178257585717329,-6.91756148058025,4.59483998622696e-12,2.08082430936646e-11
"ENSG00000206878.1",3.58870413306662,2.8159421748107,0.407079498263333,6.91742567931809,4.59924528602363e-12,2.08255681319255e-11
"ENSG00000156755.10",2.26596195197439,2.442964229759,0.35316406577585,6.91736353298618,4.60126265105406e-12,2.0832077501559e-11
"ENSG00000154928.18",162.879432911429,1.55669891310502,0.225088278716017,6.91594836472597,4.64743667327276e-12,2.10384779728726e-11
"ENSG00000205846.4",23.4433438075095,-1.65241772573297,0.238967957046282,-6.91480877251231,4.68494910588459e-12,2.12002797700798e-11
"ENSG00000258404.1",7.95007428647712,1.79154037290032,0.259102466317933,6.91440879880317,4.69818544863185e-12,2.12574994546458e-11
"ENSG00000279716.1",46.6617423226086,1.19466136382741,0.172779021867639,6.91438897450529,4.69884244739322e-12,2.12577951567412e-11
"ENSG00000228330.1",3.61085905898453,-1.40163539660327,0.202728159573183,-6.91386632993771,4.71619597925747e-12,2.13336172144934e-11
"ENSG00000182487.12",83.5446190531467,-1.07260086724874,0.155173137190979,-6.91228447568626,4.76910250096872e-12,2.15675082265332e-11
"ENSG00000215795.2",16.5366661120505,1.3694642307965,0.198122670071285,6.91220358732175,4.77182346355476e-12,2.15770975390791e-11
"ENSG00000275479.1",13.2869936153871,1.1059957797025,0.160021077860355,6.91156311712674,4.79342171009486e-12,2.16720324705811e-11
"ENSG00000217236.2",7.05355632785544,4.80424703041915,0.695159505917828,6.91099954689686,4.81250593810612e-12,2.17555785551274e-11
"ENSG00000188227.13",324.440978092941,1.02818328396768,0.148778204497129,6.91084616488652,4.8177128074385e-12,2.17763770501026e-11
"ENSG00000060709.15",139.970968262196,2.47392392346418,0.357985465199944,6.91068259456409,4.82327162482215e-12,2.17960193032147e-11
"ENSG00000277693.2",5.96952331002183,4.76249037129607,0.689170036917083,6.91047218564592,4.83043146389564e-12,2.18256290867418e-11
"ENSG00000163017.14",924.481058134133,-1.27366468428627,0.184311532037808,-6.9103906315802,4.83320940364051e-12,2.18354349142215e-11
"ENSG00000110848.8",620.450549102674,-1.1584673137917,0.167670454192616,-6.90919171997282,4.87422857977129e-12,2.20179825083206e-11
"ENSG00000182389.20",190.621636620392,-1.44715398594515,0.209459557795762,-6.9089899796133,4.88116432078898e-12,2.2046541049145e-11
"ENSG00000111834.13",262.51278807575,-1.77764086890045,0.257325470810616,-6.90814190799144,4.91042659967814e-12,2.21759210314776e-11
"ENSG00000177202.3",47.3255935915801,1.20786292094899,0.174850206229193,6.9079868248238,4.91579623193094e-12,2.21973807481813e-11
"ENSG00000251880.1",4.22825491064941,2.71549639186306,0.393111979253665,6.90769179056437,4.92602745557912e-12,2.22407849307562e-11
"ENSG00000262619.2",15.8905535321933,1.54804015019984,0.224146586547247,6.90637396734809,4.97198246419754e-12,2.24426293892735e-11
"ENSG00000164237.9",2675.03023135104,1.3240279540275,0.191721471303452,6.90599725229449,4.98519629405309e-12,2.24994476630232e-11
"ENSG00000261821.2",7.79334547314118,2.31855480485682,0.335757661901765,6.90544123914938,5.00476218654912e-12,2.25820802916878e-11
"ENSG00000186297.12",5.6759271838788,4.14532042148658,0.600457671165023,6.90360140364886,5.07004345705833e-12,2.28708928326561e-11
"ENSG00000253636.1",42.5140179743472,-1.16454012513945,0.168696649769694,-6.90316095031696,5.08579508183492e-12,2.29390682011459e-11
"ENSG00000165553.4",5.64328944106629,4.43532770114247,0.642713608028637,6.90093946314087,5.16597456777836e-12,2.32948627284483e-11
"ENSG00000270426.1",18.9532091591096,1.29224055170306,0.187275748261655,6.90020231502475,5.19285302410885e-12,2.34072524346043e-11
"ENSG00000064655.19",739.110939021337,1.82600673842577,0.264768060661291,6.89662768940139,5.32515013666169e-12,2.39885461898514e-11
"ENSG00000187758.8",8.43708299139989,-2.00138379752731,0.290227293681955,-6.89591861653275,5.35178289720613e-12,2.410549824453e-11
"ENSG00000253553.7",7.66371601431295,2.62165536604538,0.380244676012993,6.89465370964406,5.39961733062208e-12,2.43148578379811e-11
"ENSG00000244184.1",4.32911802993648,1.76558711159399,0.256082809430003,6.89459443030904,5.40186932163861e-12,2.43219504669769e-11
"ENSG00000227388.3",70.945299776729,1.13000830766032,0.163910462531817,6.89405844023513,5.42227314260005e-12,2.44107598062423e-11
"ENSG00000145692.15",20.7722011898001,2.36310182575384,0.342819077656479,6.89314562628215,5.45719572525061e-12,2.45618241774088e-11
"ENSG00000184995.7",11.506732935895,2.84311369881483,0.412481225341652,6.89271056266844,5.47391794321355e-12,2.46340019663906e-11
"ENSG00000166347.19",8843.25961275508,-1.01850675620971,0.147772573940714,-6.89239369017376,5.48612893777082e-12,2.46858625841084e-11
"ENSG00000227777.1",5.69924164068304,3.15975236249035,0.458518127558265,6.89122669874995,5.5313307657414e-12,2.48861400467178e-11
"ENSG00000219951.4",4.3917833850672,1.81369196738101,0.263240253357793,6.88987320231707,5.58421393862554e-12,2.51146334728772e-11
"ENSG00000198857.3",18.1882469108251,-1.39397291980134,0.202323489609738,-6.88982244469081,5.58620672700058e-12,2.51204515270502e-11
"ENSG00000275361.1",4.58788954483915,2.4770986038131,0.359591605794007,6.88864412822838,5.63266485837712e-12,2.53230290742605e-11
"ENSG00000258851.1",2.73907446282889,-1.47676929696515,0.214402929229007,-6.88782239251869,5.66528780382137e-12,2.54633213399177e-11
"ENSG00000151846.8",45.2299927989309,1.19539951264346,0.173577982488753,6.8868153408853,5.7055204204889e-12,2.56377374572494e-11
"ENSG00000140873.16",37.8914054467796,1.64982191845434,0.239580868381339,6.88628407435412,5.72685769306767e-12,2.57257595257671e-11
"ENSG00000154529.15",24.2727007866165,-1.6094372855551,0.233716702439245,-6.88627414625394,5.72725717914309e-12,2.57257595257671e-11
"ENSG00000222000.7",10.53513638002,2.44026940975935,0.354463460487658,6.88440327926077,5.80302653183222e-12,2.60563288288842e-11
"ENSG00000147206.17",80.1770274448652,-1.93613769271182,0.28125639313177,-6.88388865103854,5.82404049023737e-12,2.61474165705646e-11
"ENSG00000148408.13",56.1370459935661,2.7093996397847,0.393635476154379,6.8830169126375,5.85980672313402e-12,2.63047045929792e-11
"ENSG00000130513.6",3974.08111066028,1.43400399923149,0.20835016698028,6.88266306677458,5.87438588102509e-12,2.63668563029646e-11
"ENSG00000231310.3",4.43825446462972,3.65250063846463,0.53075986750765,6.8816443406245,5.9165582372998e-12,2.65528275626008e-11
"ENSG00000182397.14",6.26819091221602,-1.29258502935748,0.187857525757939,-6.88066674008589,5.95730704922706e-12,2.67223523444105e-11
"ENSG00000227755.1",14.8281882409642,2.13124804894807,0.30985773337221,6.87815025868003,6.06346976744318e-12,2.71883774796248e-11
"ENSG00000259663.2",22.3571849671735,2.81742262134864,0.409703410476771,6.87673704758769,6.12389957589636e-12,2.74524905504624e-11
