"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Double-Strand Break Repair Via Break-Induced Replication (GO:0000727)","3/11",0.00129281215488136,0.0341503886107621,0,0,17.8188713592233,118.512163527428,"GINS2;MCM4;MCM2"
"Glutamine Family Amino Acid Biosynthetic Process (GO:0009084)","3/11",0.00129281215488136,0.0341503886107621,0,0,17.8188713592233,118.512163527428,"LGSN;PYCR1;ALDH18A1"
"Positive Regulation Of Branching Involved In Ureteric Bud Morphogenesis (GO:0090190)","3/11",0.00129281215488136,0.0341503886107621,0,0,17.8188713592233,118.512163527428,"SIX4;SIX1;SOX9"
"Positive Regulation Of Metaphase/Anaphase Transition Of Cell Cycle (GO:1902101)","3/11",0.00129281215488136,0.0341503886107621,0,0,17.8188713592233,118.512163527428,"CDC20;UBE2C;DLGAP5"
"Positive Regulation Of Mitotic Cell Cycle Spindle Assembly Checkpoint (GO:0090267)","3/11",0.00129281215488136,0.0341503886107621,0,0,17.8188713592233,118.512163527428,"BIRC5;NDC80;MAD2L1"
"Positive Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0045842)","3/11",0.00129281215488136,0.0341503886107621,0,0,17.8188713592233,118.512163527428,"CDC20;UBE2C;DLGAP5"
"Positive Regulation Of Spindle Checkpoint (GO:0090232)","3/11",0.00129281215488136,0.0341503886107621,0,0,17.8188713592233,118.512163527428,"BIRC5;NDC80;MAD2L1"
"Protein Localization To Kinetochore (GO:0034501)","3/11",0.00129281215488136,0.0341503886107621,0,0,17.8188713592233,118.512163527428,"CDK1;TTK;KNL1"
"Regulation Of Canonical Wnt Signaling Pathway (GO:0060828)","12/207",0.00134541221820081,0.035084210920775,0,0,2.96087039511357,19.5744765294343,"SOX2;COL1A1;GREM1;SFRP4;SFRP2;CDH3;MDK;EGF;TPBG;SOX9;SOX4;LGR4"
"Regulation Of Cysteine-Type Endopeptidase Activity (GO:2000116)","4/24",0.00139694602109951,0.0355173525864551,0,0,9.52068126520681,62.5838825778078,"SOX2;CST2;CST1;CST4"
"Negative Regulation Of Ossification (GO:0030279)","4/24",0.00139694602109951,0.0355173525864551,0,0,9.52068126520681,62.5838825778078,"GREM1;ECM1;MDK;SOX9"
"Regulation Of Chondrocyte Differentiation (GO:0032330)","4/25",0.00163605893877981,0.0405822424570503,0,0,9.06685204495423,58.1680720933186,"GREM1;MDK;SOX9;ADAMTS12"
"Wound Healing, Spreading Of Cells (GO:0044319)","4/25",0.00163605893877981,0.0405822424570503,0,0,9.06685204495423,58.1680720933186,"CCNA2;MMP12;CEACAM1;COL5A1"
"Attachment Of Mitotic Spindle Microtubules To Kinetochore (GO:0051315)","3/12",0.00169733369364836,0.0410997230104854,0,0,15.8381877022654,101.026995229273,"NUF2;KIF2C;NDC80"
"Regulation Of DNA-templated DNA Replication Initiation (GO:0030174)","3/12",0.00169733369364836,0.0410997230104854,0,0,15.8381877022654,101.026995229273,"GMNN;MCM4;MCM2"
"Regulation Of Cell Migration (GO:0030334)","19/434",0.00192824380625665,0.0457885718914773,0,0,2.21631982475356,13.8545379988513,"LRRC15;CEMIP;MMP7;EGF;TNC;KIF14;THY1;SULF1;FUT3;COL1A1;CCNA2;FRMD5;CEACAM1;CLDN3;SFRP2;MDK;PLAU;F2RL1;SMIM22"
"Positive Regulation Of Canonical Wnt Signaling Pathway (GO:0090263)","7/85",0.00193599664831221,0.0457885718914773,0,0,4.29075540472599,26.8049197754982,"COL1A1;SFRP4;CDH3;SFRP2;EGF;SOX4;LGR4"
"Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901990)","7/86",0.00207074438445726,0.0479000891128259,0,0,4.23622486969471,26.1792221044138,"ANLN;CENPF;CDKN2A;UBE2C;KIF14;CDC6;AURKA"
"Protein N-linked Glycosylation (GO:0006487)","6/64",0.0020918140480612,0.0479000891128259,0,0,4.93895961554675,30.4720158174784,"FUT8;FUT9;DERL3;GFPT1;SRD5A3;FUT3"
"Mitotic Spindle Assembly (GO:0090307)","5/44",0.00209592326993191,0.0479000891128259,0,0,6.1119449656035,37.6970165328486,"TPX2;PRC1;KIF4A;BIRC5;KIF11"
"Nucleotide-Sugar Metabolic Process (GO:0009225)","3/13",0.00217275436414784,0.0485646415019419,0,0,14.253640776699,87.3998990105056,"FUT8;GMDS;GFPT1"
"Protein Hydroxylation (GO:0018126)","3/13",0.00217275436414784,0.0485646415019419,0,0,14.253640776699,87.3998990105056,"EGLN3;P3H4;PLOD2"
